question,answer,company,source_file,question_type
What was AMD's total revenue for fiscal year 2024?,"AMD reported record full-year 2024 revenue of $25.8 billion, up 14% year-over-year. Gross margin was 49% GAAP and 53% non-GAAP.",AMD,AMD_10-K_2025-02-05,numerical
What was NVIDIA's Data Center revenue for Q1 fiscal 2026 (quarter ending April 2025)?,"NVIDIA's Data Center revenue for Q1 FY2026 was $22.6 billion, up 73% year-over-year, driven by strong demand for Blackwell GPUs from hyperscale cloud providers.",NVDA,NVDA_10-Q_2025-05-28,numerical
What was Palantir's total revenue for fiscal year 2024?,"Palantir reported total revenue of $2.87 billion for fiscal year 2024, up approximately 29% year-over-year, driven by strong U.S. commercial growth from AIP adoption.",PLTR,PLTR_10-K_2025-02-18,numerical
What was AMD's Data Center segment revenue for fiscal year 2024?,"AMD's Data Center segment revenue was a record $12.6 billion in 2024, up 94% year-over-year. Growth was driven by AMD Instinct GPU shipments (over $5 billion) and EPYC CPU sales.",AMD,AMD_10-K_2025-02-05,numerical
How has AMD's gross margin changed from fiscal year 2023 to 2024?,"AMD's GAAP gross margin improved from 46% in 2023 to 49% in 2024. Non-GAAP gross margin improved from 51% to a record 53%, reflecting a more favorable product mix driven by higher-margin Data Center products.",AMD,AMD_10-K_2025-02-05,comparative
How has Palantir's revenue mix between Government and Commercial segments shifted over the past two years?,"In 2023, Palantir's revenue was more heavily weighted toward Government. By 2024, U.S. Commercial revenue grew significantly faster — driven by AIP adoption — narrowing the gap. Commercial revenue growth accelerated to over 50% year-over-year in the U.S., signaling a structural shift in Palantir's business mix.",PLTR,PLTR_10-K_2025-02-18,comparative
How has AMD's Gaming segment revenue trended from 2023 to 2024?,"AMD's Gaming segment revenue declined sharply from $6.2 billion in 2023 to $2.6 billion in 2024, a 58% drop. The decline was driven by a decrease in semi-custom revenue as gaming console demand softened.",AMD,AMD_10-K_2025-02-05,comparative
How has NVIDIA's full-year revenue grown from fiscal 2024 to fiscal 2025?,"NVIDIA's full-year revenue grew from $60.9 billion in fiscal 2024 to $130.5 billion in fiscal 2025, an increase of 114%. Data Center revenue grew from $47.5 billion to $115.2 billion over the same period, reflecting explosive demand for AI infrastructure.",NVDA,NVDA_10-K_2025-02-26,comparative
What are the main risks facing Palantir as disclosed in its SEC filings?,"Palantir's key risks include: (1) heavy dependence on a small number of large government contracts that may not be renewed; (2) long and unpredictable sales cycles for enterprise commercial deals; (3) geopolitical risks affecting international government contracts; (4) reputational risk from association with controversial surveillance use cases; (5) difficulty scaling its forward-deployed engineer model profitably.",PLTR,PLTR_10-K_2025-02-18,analytical
What are AMD's main competitive risks in the data center market?,"AMD faces intense competition from NVIDIA in AI GPUs — NVIDIA holds dominant market share in training workloads. In CPUs, AMD competes with Intel's Xeon line. Key risks include: falling behind on GPU software ecosystems (CUDA vs ROCm), export control restrictions limiting China sales, and customer concentration among a few large hyperscalers.",AMD,AMD_10-K_2026-02-04,analytical
How does Palantir's business model differ from traditional enterprise software companies?,"Unlike traditional SaaS companies, Palantir deploys forward-deployed engineers (FDEs) directly at customer sites to build and integrate solutions. This creates deep customer lock-in through the Ontology data model but results in higher customer acquisition costs. Revenue is recognized over multi-year contracts rather than simple annual subscriptions.",PLTR,PLTR_10-K_2025-02-18,analytical
What are NVIDIA's key risk factors related to export controls?,"NVIDIA faces significant risk from U.S. government export restrictions on advanced AI chips to China. The company was required to develop lower-specification chips (H20, A800) for the Chinese market. Further tightening of restrictions could materially reduce revenue from one of its largest markets and disrupt supply chain planning.",NVDA,NVDA_10-K_2025-02-26,analytical
How does NVIDIA's Data Center revenue compare to AMD's Data Center revenue in 2024?,"NVIDIA's Data Center revenue for fiscal 2025 (ending January 2025) was $115.2 billion, dwarfing AMD's Data Center revenue of $12.6 billion for calendar year 2024. NVIDIA holds dominant market share in AI GPU infrastructure, while AMD is a distant second with its Instinct MI300X line. NVIDIA's data center business is roughly 9x larger than AMD's.",NVDA/AMD,"NVDA_10-K_2025-02-26, AMD_10-K_2025-02-05",cross_company
How do Palantir and AMD differ in their revenue concentration risk?,"AMD has diversified revenue across Data Center ($12.6B), Client ($7.1B), Gaming ($2.6B), and Embedded ($3.6B) segments. Palantir is more concentrated — heavily dependent on a smaller number of large government and enterprise contracts, with its top customers representing a significant share of revenue. This makes Palantir more exposed to contract non-renewal risk than AMD.",PLTR/AMD,"PLTR_10-K_2025-02-18, AMD_10-K_2025-02-05",cross_company
How does NVIDIA's gross margin compare to AMD's gross margin?,"NVIDIA's non-GAAP gross margin for fiscal 2025 was approximately 75%, significantly higher than AMD's non-GAAP gross margin of 53% for 2024. The difference reflects NVIDIA's dominant pricing power in AI GPUs, where demand far exceeds supply. AMD competes more on price, particularly in CPUs against Intel.",NVDA/AMD,"NVDA_10-K_2025-02-26, AMD_10-K_2025-02-05",cross_company
